station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Andover,133754,432502,143056,736,ADV,Southern,Hampshire
Anerley,247176,396464,84090,0,ANZ,Southern,Bromley
Angmering,141058,349352,186800,0,ANG,Southern,West Sussex
Annan,7220,73362,1252,0,ANN,Scotland,Dumfries and Galloway
Anniesland,150546,342144,72118,0,ANL,Scotland,Glasgow City
Ansdell and Fairhaven,8040,24426,2752,0,AFV,North West and Central,Lancashire
Apperley Bridge,73712,148064,41314,0,APY,Eastern,Bradford
Appleby,7060,38684,1732,0,APP,North West and Central,Cumbria
Appledore (Kent),5988,12224,6606,0,APD,Southern,Kent
Appleford,2084,2420,832,0,APF,Wales and Western,Oxfordshire
Appley Bridge,31616,76964,19082,0,APB,North West and Central,Lancashire
Apsley,112232,156748,57914,0,APS,North West and Central,Hertfordshire
Arbroath,77582,140030,11752,8605,ARB,Scotland,Angus
Ardgay,3262,558,148,0,ARD,Scotland,Highland
Ardlui,2130,924,0,0,AUI,Scotland,Argyll and Bute
Ardrossan Harbour,32568,25984,42,0,ADS,Scotland,North Ayrshire
Ardrossan South Beach,29940,78232,10496,112,ASB,Scotland,North Ayrshire
Ardrossan Town,3008,6870,1050,0,ADN,Scotland,North Ayrshire
Ardwick,316,76,12,0,ADK,North West and Central,Manchester
Argyle Street,149266,544218,79670,0,AGS,Scotland,Glasgow City
Arisaig,2004,1798,0,0,ARG,Scotland,Highland
Arlesey,131304,203482,72236,0,ARL,Eastern,Central Bedfordshire
Armadale (West Lothian),48804,72224,13334,0,ARM,Scotland,West Lothian
Armathwaite,1174,5686,128,0,AWT,North West and Central,Cumbria
Arnside,13532,82700,3802,0,ARN,North West and Central,Cumbria
Arram,276,418,44,0,ARR,Eastern,East Riding of Yorkshire
Arrochar and Tarbet,11018,4164,218,0,ART,Scotland,Argyll and Bute
Arundel,35116,119354,54210,0,ARU,Southern,West Sussex
Ascot (Berks),197394,291710,61652,176360,ACT,Southern,Windsor and Maidenhead
Ascott-Under-Wychwood,944,86,132,0,AUW,Wales and Western,Oxfordshire
Ash,45886,84446,29700,19266,ASH,Southern,Surrey
Ash Vale,77132,104382,45502,44113,AHV,Southern,Surrey
Ashburys,33636,20688,11178,0,ABY,North West and Central,Manchester
