station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Leyton Midland Road,349716,518512,233616,0,LEM,Eastern,Waltham Forest
Leytonstone High Road,243450,390782,167628,0,LER,Eastern,Waltham Forest
Lichfield City,177340,192134,118346,0,LIC,North West and Central,Staffordshire
Lichfield Trent Valley,84440,334150,176552,68711,LTV,North West and Central,Staffordshire
Lidlington,768,5098,3678,0,LID,North West and Central,Central Bedfordshire
Limehouse,770402,639442,429770,0,LHS,Eastern,Tower Hamlets
Lincoln,466274,952712,81938,34181,LCN,Eastern,Lincolnshire
Lingfield,67990,113064,137128,0,LFD,Southern,Surrey
Lingwood,12982,17014,7528,0,LGD,Eastern,Norfolk
Linlithgow,184838,295702,38266,0,LIN,Scotland,West Lothian
Liphook,83162,144820,233712,0,LIP,Southern,Hampshire
Liskeard,22104,218636,53850,56052,LSK,Wales and Western,Cornwall
Liss,38516,81238,116828,0,LIS,Southern,Hampshire
Lisvane and Thornhill,72522,5174,13690,0,LVT,Wales and Western,Cardiff
Little Kimble,4128,1868,2464,0,LTK,North West and Central,Buckinghamshire
Little Sutton,62098,43598,12320,0,LTT,North West and Central,Cheshire West and Chester
Littleborough,70700,126500,61946,0,LTL,North West and Central,Rochdale
Littlehampton,137594,395454,247056,3368,LIT,Southern,West Sussex
Littlehaven,60448,71732,33890,0,LVN,Southern,West Sussex
Littleport,43840,74224,35596,0,LTP,Eastern,Cambridgeshire
Liverpool Central,2780220,6405230,1561580,391121,LVC,North West and Central,Liverpool
Liverpool James Street,585310,1348470,328754,0,LVJ,North West and Central,Liverpool
Liverpool Lime Street,2707056,6236670,1520486,1134443,LIV,North West and Central,Liverpool
Liverpool South Parkway,246170,940636,273250,855798,LPY,North West and Central,Liverpool
Livingston North,209172,350086,51670,0,LSN,Scotland,West Lothian
Livingston South,53282,85632,12768,0,LVG,Scotland,West Lothian
Llanaber,130,64,426,0,LLA,Wales and Western,Gwynedd
Llanbedr,2084,482,30,0,LBR,Wales and Western,Gwynedd
Llanbister Road,338,176,0,0,LLT,Wales and Western,Powys
Llanbradach,28108,1086,10788,0,LNB,Wales and Western,Caerphilly
Llandaf,197944,10392,54096,0,LLN,Wales and Western,Cardiff
Llandanwg,348,116,0,0,LDN,Wales and Western,Gwynedd
Llandecwyn,584,142,576,0,LLC,Wales and Western,Gwynedd
Llandeilo,4290,3642,0,0,LLL,Wales and Western,Carmarthenshire
Llandovery,3780,2866,10,0,LLV,Wales and Western,Carmarthenshire
Llandrindod,8196,9956,0,0,LLO,Wales and Western,Powys
Llandudno,120382,103680,16318,0,LLD,Wales and Western,Conwy
Llandudno Junction,116566,127496,20942,87916,LLJ,Wales and Western,Conwy
Llandybie,1830,1244,0,0,LLI,Wales and Western,Carmarthenshire
Llanelli,137864,62366,42760,2838,LLE,Wales and Western,Carmarthenshire
Llanfairfechan,12656,9294,1266,0,LLF,Wales and Western,Conwy
Llanfairpwll,3986,2946,226,0,LPG,Wales and Western,Isle of Anglesey
Llangadog,1420,870,0,0,LLG,Wales and Western,Carmarthenshire
Llangammarch,394,284,0,0,LLM,Wales and Western,Powys
Llangennech,590,334,0,0,LLH,Wales and Western,Carmarthenshire
Llangynllo,206,190,0,0,LGO,Wales and Western,Powys
Llanharan,45952,19946,11024,0,LLR,Wales and Western,Rhondda Cynon Taf
Llanhilleth,41792,3022,8298,0,LTH,Wales and Western,Blaenau Gwent
Llanishen,81992,4374,20120,0,LLS,Wales and Western,Cardiff
Llanrwst,4848,3294,408,0,LWR,Wales and Western,Conwy
Llansamlet,16248,3306,988,0,LAS,Wales and Western,Swansea
Llantwit Major,109010,31136,32280,0,LWM,Wales and Western,Vale of Glamorgan
Llanwrda,278,276,0,0,LNR,Wales and Western,Carmarthenshire
Llanwrtyd,1438,1308,0,0,LNW,Wales and Western,Powys
Llwyngwril,7490,2214,9764,0,LLW,Wales and Western,Gwynedd
Llwynypia,24026,790,6978,0,LLY,Wales and Western,Rhondda Cynon Taf
Loch Awe,3104,962,2944,0,LHA,Scotland,Argyll and Bute
Loch Eil Outward Bound,848,252,0,0,LHE,Scotland,Highland
Lochailort,706,410,0,0,LCL,Scotland,Highland
Locheilside,236,142,0,0,LCS,Scotland,Highland
Lochgelly,13978,20212,2190,0,LCG,Scotland,Fife
Lochluichart,94,36,0,0,LCC,Scotland,Highland
Lochwinnoch,20910,39718,27962,0,LHW,Scotland,Renfrewshire
Lockerbie,18446,139892,290,0,LOC,Scotland,Dumfries and Galloway
Lockwood,11252,11168,9978,0,LCK,Eastern,Kirklees
London Blackfriars,1939438,3065636,977024,1500087,BFR,Southern,City of London
London Bridge,9509682,17220810,6578856,5708557,LBG,Southern,Southwark
London Cannon Street,2458338,2303108,2262180,377875,CST,Southern,City of London
London Charing Cross,4049260,8677478,3006720,294687,CHX,Southern,Westminster
London Euston,2131136,19286604,1679866,3121082,EUS,North West and Central,Camden
London Fenchurch Street,3442024,2774784,1578538,779484,FST,Eastern,City of London
London Fields,289270,562296,93150,0,LOF,Eastern,Hackney
London Kings Cross,1672012,17444498,1359982,1422488,KGX,Eastern,Camden
London Liverpool Street,10433980,16062548,5668782,3015824,LST,Eastern,City of London
London Marylebone,1849034,4635094,1004362,513896,MYB,North West and Central,Westminster
London Paddington,4843200,16644678,2382632,2063801,PAD,Wales and Western,Westminster
London Road (Brighton),80860,150666,25512,0,LRB,Southern,Brighton and Hove
London Road (Guildford),188960,309558,85582,0,LRD,Southern,Surrey
London St Pancras International,3972814,12055804,2966402,2877861,STP,Eastern,Camden
London Victoria,9148902,21148678,6478758,3295937,VIC,Southern,Westminster
London Waterloo,12449364,22416522,6560156,3532033,WAT,Southern,Lambeth
London Waterloo East,1319008,2744582,1045766,557411,WAE,Southern,Lambeth
Long Buckby,38948,145350,26984,0,LBK,North West and Central,West Northamptonshire
Long Eaton,289430,137580,34416,6811,LGE,Eastern,Derbyshire
Long Preston,2544,6410,20,91,LPR,North West and Central,North Yorkshire
Longbeck,10448,22828,6840,0,LGK,Eastern,Redcar and Cleveland
Longbridge,164896,238252,121694,0,LOB,North West and Central,Birmingham
Longcross,41650,21908,5398,0,LNG,Southern,Surrey
Longfield,87390,136694,90232,0,LGF,Southern,Kent
Longniddry,39606,51318,6206,0,LND,Scotland,East Lothian
Longport,26342,11634,5118,0,LPT,North West and Central,Stoke-on-Trent
Longton,26334,13440,4776,0,LGN,Eastern,Stoke-on-Trent
Looe,5704,107348,5250,0,LOO,Wales and Western,Cornwall
Lostock,62982,50932,29912,0,LOT,North West and Central,Bolton
Lostock Gralam,13054,13932,16026,0,LTG,North West and Central,Cheshire West and Chester
Lostock Hall,7060,14332,2650,0,LOH,North West and Central,Lancashire
Lostwithiel,7362,40054,14118,0,LOS,Wales and Western,Cornwall
Loughborough,285118,596750,80884,34530,LBO,Eastern,Leicestershire
Loughborough Junction,242798,337414,141684,0,LGJ,Southern,Lambeth
Low Moor,65652,67414,18646,0,LMR,Eastern,Bradford
Lowdham,23946,4502,2432,0,LOW,Eastern,Nottinghamshire
Lower Sydenham,151892,225626,76936,0,LSY,Southern,Lewisham
Lowestoft,88456,242238,24234,7307,LWT,Eastern,Suffolk
Ludlow,79666,81172,38942,1638,LUD,Wales and Western,Shropshire
Luton,393912,1683712,338944,48344,LUT,Eastern,Luton
Luton Airport Parkway,889912,992290,108700,74151,LTN,Eastern,Luton
Luxulyan,400,1296,0,0,LUX,Wales and Western,Cornwall
Lydney,81826,33344,13274,0,LYD,Wales and Western,Gloucestershire
Lye (West Midlands),13172,19060,17560,0,LYE,North West and Central,Dudley
Lymington Pier,16568,52704,6492,0,LYP,Southern,Hampshire
Lymington Town,47840,129568,22862,0,LYT,Southern,Hampshire
Lympstone Commando,20618,55486,30,0,LYC,Wales and Western,Devon
Lympstone Village,27890,36954,6210,0,LYM,Wales and Western,Devon
Lytham,15750,75810,4698,0,LTM,North West and Central,Lancashire
Macclesfield,155212,781620,59408,5971,MAC,North West and Central,Cheshire East
Machynlleth,44512,28036,2892,6314,MCN,Wales and Western,Powys
Maesteg,81904,5846,19404,0,MST,Wales and Western,Bridgend
Maesteg (Ewenny Road),10242,864,2028,0,MEW,Wales and Western,Bridgend
Maghull,180416,718306,207482,0,MAG,North West and Central,Sefton
Maghull North,110048,233730,56986,0,MNS,North West and Central,Sefton
Maiden Newton,4632,10010,176,0,MDN,Southern,Dorset
Maidenhead,709594,1196008,504646,309061,MAI,Wales and Western,Windsor and Maidenhead
Maidstone Barracks,46816,76254,53078,149504,MDB,Southern,Kent
Maidstone East,234966,382712,266392,22109,MDE,Southern,Kent
Maidstone West,145868,237588,165376,73597,MDW,Southern,Kent
Malden Manor,111184,135706,64488,0,MAL,Southern,Kingston upon Thames
Mallaig,14230,48164,32,0,MLG,Scotland,Highland
Malton,88702,126876,56692,0,MLT,Eastern,North Yorkshire
Malvern Link,104544,92884,56332,14780,MVL,Wales and Western,Worcestershire
Manchester Airport,367500,1721312,85584,14518,MIA,North West and Central,Manchester
Manchester Oxford Road,743250,2794656,333718,683865,MCO,North West and Central,Manchester
Manchester Piccadilly,3759122,14134482,1687838,1235892,MAN,North West and Central,Manchester
Manchester Victoria,1117370,4201366,501696,811397,MCV,North West and Central,Manchester
Manea,8580,5280,2332,0,MNE,Eastern,Cambridgeshire
Manningtree,135954,345320,153410,165437,MNG,Eastern,Essex
Manor Park,538220,1005972,432424,0,MNP,Eastern,Newham
Manor Road,57252,113044,37168,0,MNR,North West and Central,Wirral
Manorbier,3456,1248,0,0,MRB,Wales and Western,Pembrokeshire
Manors,5960,7856,604,0,MAS,Eastern,Newcastle upon Tyne
Mansfield,134936,109668,14522,0,MFT,Eastern,Nottinghamshire
Mansfield Woodhouse,50372,32422,5658,0,MSW,Eastern,Nottinghamshire
March,81606,112784,57248,9,MCH,Eastern,Cambridgeshire
Marden (Kent),63798,140308,129622,0,MRN,Southern,Kent
Margate,135924,628530,119656,4197,MAR,Southern,Kent
Market Harborough,112736,319166,99238,0,MHR,Eastern,Leicestershire
Market Rasen,14400,35270,1628,0,MKR,Eastern,Lincolnshire
Markinch,47462,106298,5400,0,MNC,Scotland,Fife
Marks Tey,89742,98858,113870,218431,MKT,Eastern,Essex
Marlow,56090,100316,41244,0,MLW,Wales and Western,Buckinghamshire
Marple,111586,102422,49592,0,MPL,North West and Central,Stockport
Marsden (Yorks),64196,57960,15880,0,MSN,Eastern,Kirklees
Marske,9890,27786,6730,0,MSK,Eastern,Redcar and Cleveland
Marston Green,130304,221494,92172,0,MGN,North West and Central,Solihull
Martin Mill,6246,16598,14814,0,MTM,Southern,Kent
Martins Heron,102238,144208,55664,0,MAO,Southern,Bracknell Forest
Marton,5748,12308,1582,0,MTO,Eastern,Redcar and Cleveland
Maryhill,12398,22730,8902,0,MYH,Scotland,Glasgow City
Maryland,433866,740110,255534,0,MYL,Eastern,Newham
Maryport,29984,56998,10244,0,MRY,North West and Central,Cumbria
Matlock,39724,104134,4826,0,MAT,Eastern,Derbyshire
Matlock Bath,13538,46436,1054,0,MTB,Eastern,Derbyshire
Mauldeth Road,100224,82802,20366,0,MAU,North West and Central,Manchester
Maxwell Park,12462,32092,9058,0,MAX,Scotland,Glasgow City
Maybole,14574,24598,2018,0,MAY,Scotland,South Ayrshire
Maze Hill,287394,467826,104776,0,MZH,Southern,Greenwich
Meadowhall,389120,775800,179990,39079,MHS,Eastern,Sheffield
Meldreth,54598,79016,47748,0,MEL,Eastern,Cambridgeshire
Melksham,21708,27248,3386,0,MKM,Wales and Western,Wiltshire
Melton (Suffolk),15808,34696,4608,0,MES,Eastern,Suffolk
Melton Mowbray,65172,103000,14788,0,MMO,Eastern,Leicestershire
Menheniot,542,1112,270,0,MEN,Wales and Western,Cornwall
Menston,161688,121432,157836,0,MNN,Eastern,Bradford
Meols,100712,137592,32274,0,MEO,North West and Central,Wirral
Meols Cop,28360,24878,10698,0,MEC,North West and Central,Sefton
Meopham,56386,69204,55424,0,MEP,Southern,Kent
Meridian Water,64264,139058,29900,0,MRW,Eastern,Enfield
Merryton,8896,20616,10110,0,MEY,Scotland,South Lanarkshire
Merstham,148388,207852,105762,0,MHM,Southern,Surrey
Merthyr Tydfil,165006,13656,55968,0,MER,Wales and Western,Merthyr Tydfil
Merthyr Vale,21604,756,8642,0,MEV,Wales and Western,Merthyr Tydfil
Metheringham,38984,10804,15070,0,MGM,Eastern,Lincolnshire
MetroCentre,60490,211886,14918,0,MCE,Eastern,Gateshead
Mexborough,53776,53322,28954,0,MEX,Eastern,Doncaster
Micheldever,13302,41320,19636,0,MIC,Southern,Hampshire
Micklefield,59064,57914,24780,1563,MIK,Eastern,Leeds
Middlesbrough,232674,836354,141878,53435,MBR,Eastern,Middlesbrough
Middlewood,5490,9918,5708,0,MDL,North West and Central,Stockport
Midgham,4260,17780,2118,0,MDG,Wales and Western,West Berkshire
Milford (Surrey),50174,55604,35758,0,MLF,Southern,Surrey
Milford Haven,18214,18956,166,0,MFH,Wales and Western,Pembrokeshire
Mill Hill (Lancs),17948,33624,10040,0,MLH,North West and Central,Blackburn with Darwen
Mill Hill Broadway,417046,569170,217632,0,MIL,Eastern,Barnet
Millbrook (Bedfordshire),714,1560,1344,0,MLB,North West and Central,Central Bedfordshire
Millbrook (Hants),6794,9008,5186,0,MBK,Southern,Southampton
Milliken Park,32878,65552,28918,0,MIN,Scotland,Renfrewshire
Millom,45520,87028,31610,0,MLM,North West and Central,Cumbria
Mills Hill (Manchester),83416,72828,33596,0,MIH,North West and Central,Rochdale
Milngavie,127210,230260,37478,0,MLN,Scotland,East Dunbartonshire
Milton Keynes Central,521072,3314626,403160,226525,MKC,North West and Central,Milton Keynes
Minffordd,2942,762,9954,0,MFF,Wales and Western,Gwynedd
Minster,13562,22636,13766,1897,MSR,Southern,Kent
Mirfield,115594,164460,43262,24263,MIR,Eastern,Kirklees
Mistley,8630,14272,13618,0,MIS,Eastern,Essex
Mitcham Eastfields,268404,330730,312582,0,MTC,Southern,Merton
Mitcham Junction,107282,134276,82280,0,MIJ,Southern,Merton
Mobberley,4746,5734,4896,0,MOB,North West and Central,Cheshire East
Monifieth,11164,6650,84,0,MON,Scotland,Angus
Monks Risborough,5532,3380,5982,0,MRS,North West and Central,Buckinghamshire
Montpelier,60828,20980,9950,0,MTP,Wales and Western,Bristol
Montrose,60290,117118,10936,0,MTS,Scotland,Angus
Moorfields,1243782,2865498,698602,694430,MRF,North West and Central,Liverpool
Moorgate,1156304,1536918,652934,429573,MOG,Eastern,City of London
Moorside,12514,9664,6188,0,MSD,North West and Central,Salford
Moorthorpe,89312,50276,33946,0,MRP,Eastern,Wakefield
Morar,1616,1602,0,0,MRR,Scotland,Highland
Morchard Road,4990,6872,4412,0,MRD,Wales and Western,Devon
Morden South,17940,22484,14322,0,MDS,Southern,Merton
Morecambe,28542,102884,15578,0,MCM,North West and Central,Lancashire
Moreton (Dorset),9858,47890,1140,0,MTN,Southern,Dorset
Moreton (Merseyside),147366,170236,88226,0,MRT,North West and Central,Wirral
Moreton-In-Marsh,25446,166868,7780,0,MIM,Wales and Western,Gloucestershire
Morfa Mawddach,4116,1204,0,0,MFA,Wales and Western,Gwynedd
Morley,115512,127352,43018,0,MLY,Eastern,Leeds
Morpeth,70942,313592,18238,1961,MPT,Eastern,Northumberland
Mortimer,22226,54684,18702,0,MOR,Southern,West Berkshire
Mortlake,368898,473068,178966,0,MTL,Southern,Richmond upon Thames
Moses Gate,16396,9508,5556,0,MSS,North West and Central,Bolton
Moss Side,404,1692,16,0,MOS,North West and Central,Lancashire
Mossley (Manchester),95972,95560,45568,0,MSL,North West and Central,Tameside
Mossley Hill,60746,54482,27828,0,MSH,North West and Central,Liverpool
Mosspark,18748,57522,12576,0,MPK,Scotland,Glasgow City
Moston,25060,19460,9912,0,MSO,North West and Central,Manchester
Motherwell,170520,314252,61030,67344,MTH,Scotland,North Lanarkshire
Motspur Park,207952,290484,130680,6087,MOT,Southern,Merton
Mottingham,286706,377782,181908,0,MTG,Southern,Greenwich
Mottisfont and Dunbridge,5582,12940,5204,0,DBG,Southern,Hampshire
Mouldsworth,9744,12870,2832,0,MLD,North West and Central,Cheshire West and Chester
Moulsecoomb,93758,157550,40632,0,MCB,Southern,Brighton and Hove
Mount Florida,146350,419336,56556,3107,MFL,Scotland,Glasgow City
Mount Vernon,11496,21052,896,0,MTV,Scotland,Glasgow City
Mountain Ash,52048,2590,8438,0,MTA,Wales and Western,Rhondda Cynon Taf
Muir Of Ord,31910,7074,2246,0,MOO,Scotland,Highland
Muirend,50238,108782,18802,0,MUI,Scotland,Glasgow City
Musselburgh,144652,113750,8526,0,MUB,Scotland,East Lothian
Mytholmroyd,65436,40110,30016,0,MYT,Eastern,Calderdale
Nafferton,7434,15754,4032,0,NFN,Eastern,East Riding of Yorkshire
Nailsea and Backwell,96496,116202,85634,0,NLS,Wales and Western,North Somerset
Nairn,23968,69108,7676,0,NRN,Scotland,Highland
Nantwich,91804,40910,11666,0,NAN,Wales and Western,Cheshire East
Narberth,7074,2474,0,0,NAR,Wales and Western,Pembrokeshire
Narborough,72032,48778,51758,0,NBR,Eastern,Leicestershire
Navigation Road,25556,23580,8484,0,NVR,North West and Central,Trafford
Neath,321766,166854,56702,0,NTH,Wales and Western,Neath Port Talbot
Needham Market,35936,28532,14728,0,NMT,Eastern,Suffolk
Neilston,32326,74790,168312,0,NEI,Scotland,East Renfrewshire
Nelson,29690,47140,13814,0,NEL,North West and Central,Lancashire
Neston,18528,3570,1976,0,NES,North West and Central,Cheshire West and Chester
Netherfield,3126,1908,522,0,NET,Eastern,Nottinghamshire
Nethertown,148,784,480,0,NRT,North West and Central,Cumbria
Netley,19618,34442,10704,0,NTL,Southern,Hampshire
New Barnet,289290,355048,121134,0,NBA,Eastern,Barnet
New Beckenham,159756,213386,45060,0,NBC,Southern,Bromley
New Brighton,261730,456598,179014,0,NBN,North West and Central,Wirral
New Clee,552,400,444,0,NCE,Eastern,North East Lincolnshire
New Cross,661750,1218400,611544,450605,NWX,Southern,Lewisham
New Cross Gate,847094,1932546,554352,201093,NXG,Southern,Lewisham
New Cumnock,5994,8190,790,0,NCK,Scotland,East Ayrshire
New Eltham,513726,635280,220836,0,NEH,Southern,Greenwich
New Holland,2488,3122,858,0,NHL,Eastern,North Lincolnshire
New Hythe,41614,27634,59024,0,NHE,Southern,Kent
New Lane,604,1138,72,0,NLN,North West and Central,Lancashire
New Malden,624446,1081292,403202,22601,NEM,Southern,Kingston upon Thames
New Mills Central,50960,54708,40982,2721,NMC,North West and Central,Derbyshire
New Mills Newtown,41220,41606,49216,0,NMN,North West and Central,Derbyshire
New Milton,94970,256770,47042,0,NWM,Southern,Hampshire
New Pudsey,186432,156082,59354,0,NPD,Eastern,Leeds
New Southgate,199852,200132,64004,0,NSG,Eastern,Enfield
Newark Castle,116176,406420,40744,30312,NCT,Eastern,Nottinghamshire
Newark North Gate,139094,486596,48782,160600,NNG,Eastern,Nottinghamshire
Newbridge,61202,3120,20714,0,NBE,Wales and Western,Caerphilly
Newbury,160676,693724,144056,20844,NBY,Wales and Western,West Berkshire
Newbury Racecourse,14522,53434,5248,0,NRC,Wales and Western,West Berkshire
Newcastle,699232,6083344,257496,269305,NCL,Eastern,Newcastle upon Tyne
Newcourt,36076,61876,10972,0,NCO,Wales and Western,Devon
Newcraighall,57068,61584,2836,0,NEW,Scotland,City of Edinburgh
Newhaven Harbour,3170,5938,9190,0,NVH,Southern,East Sussex
Newhaven Town,81798,141954,59912,0,NVN,Southern,East Sussex
Newington,33278,31754,37014,0,NGT,Southern,Kent
Newmarket,91272,116598,47990,0,NMK,Eastern,Suffolk
Newport (Essex),38726,45138,83482,0,NWE,Eastern,Essex
Newport (South Wales),719656,868188,165706,300101,NWP,Wales and Western,Newport
Newquay,830,106296,1828,0,NQY,Wales and Western,Cornwall
Newstead,13880,6062,3068,0,NSD,Eastern,Nottinghamshire
Newton (Lanark),80466,173970,51420,27650,NTN,Scotland,South Lanarkshire
Newton Abbot,126910,689890,160412,303296,NTA,Wales and Western,Devon
Newton Aycliffe,19112,45942,9706,0,NAY,Eastern,County Durham
Newton For Hyde,39298,47660,25818,0,NWN,North West and Central,Tameside
Newton St Cyres,1030,1116,0,0,NTC,Wales and Western,Devon
Newtongrange,31106,38124,6352,0,NEG,Scotland,Midlothian
Newton-Le-Willows,177104,534624,79518,135589,NLW,North West and Central,St. Helens
Newtonmore,2924,2476,0,0,NWR,Scotland,Highland
Newton-On-Ayr,22570,29968,4488,0,NOA,Scotland,South Ayrshire
Newtown (Powys),51704,21924,13970,0,NWT,Wales and Western,Powys
Ninian Park,37968,1820,17970,0,NNP,Wales and Western,Cardiff
Nitshill,23686,38482,10198,0,NIT,Scotland,Glasgow City
Norbiton,476862,674572,233000,0,NBT,Southern,Kingston upon Thames
Norbury,443302,671738,570986,0,NRB,Southern,Croydon
Normans Bay,4300,10348,2478,0,NSB,Southern,East Sussex
Normanton,68238,55440,21072,0,NOR,Eastern,Wakefield
North Berwick,101924,220806,21684,0,NBW,Scotland,East Lothian
North Camp,41090,104512,23874,0,NCM,Southern,Surrey
North Dulwich,192202,247630,87734,0,NDL,Southern,Southwark
North Fambridge,15210,10798,10822,0,NFA,Eastern,Essex
North Llanrwst,636,784,0,0,NLR,Wales and Western,Conwy
North Queensferry,25242,57514,4070,0,NQU,Scotland,Fife
North Road (Darlington),12508,22736,7924,0,NRD,Eastern,Darlington
North Sheen,88256,101106,45410,0,NSH,Southern,Richmond upon Thames
North Walsham,74030,117922,29080,0,NWA,Eastern,Norfolk
North Wembley,231398,462322,118180,0,NWB,North West and Central,Brent
Northallerton,71512,575836,33244,0,NTR,Eastern,North Yorkshire
Northampton,242322,1374572,251862,1667,NMP,North West and Central,West Northamptonshire
Northfield,122570,166812,102446,0,NFD,North West and Central,Birmingham
Northfleet,46876,48468,31636,0,NFL,Southern,Kent
Northolt Park,47422,60576,14952,0,NLT,North West and Central,Ealing
Northumberland Park,136352,324646,134012,0,NUM,Eastern,Haringey
Northwich,44318,64164,15934,0,NWI,North West and Central,Cheshire West and Chester
Norwich,478354,2495370,239780,357512,NRW,Eastern,Norfolk
Norwood Junction,902634,1551672,562572,605347,NWD,Southern,Croydon
Nottingham,1156100,3806776,239562,322888,NOT,Eastern,Nottingham
Nuneaton,299382,481678,62880,320388,NUN,North West and Central,Warwickshire
Nunhead,221346,348588,160164,0,NHD,Southern,Southwark
Nunthorpe,8642,22136,4980,0,NNT,Eastern,Redcar and Cleveland
Nutbourne,15234,18124,31198,0,NUT,Southern,West Sussex
Nutfield,17286,19614,13348,0,NUF,Southern,Surrey
Oakengates,14336,27388,6208,0,OKN,North West and Central,Telford and Wrekin
Oakham,36928,105348,11738,1459,OKM,Eastern,Rutland
Oakleigh Park,212700,217728,69588,0,OKL,Eastern,Barnet
Oban,45372,61358,48240,0,OBN,Scotland,Argyll and Bute
Ockendon,320712,315214,160856,0,OCK,Eastern,Thurrock
Ockley,12612,10222,2424,0,OLY,Southern,Surrey
Okehampton,39124,14222,1558,0,OKE,Non-NR,Devon
Old Hill,33502,42488,21874,0,OHL,North West and Central,Sandwell
Old Roan,124804,527966,134748,0,ORN,North West and Central,Sefton
Old Street,1423112,2051218,198194,0,OLD,Eastern,Islington
Oldfield Park,86732,111832,40204,0,OLF,Wales and Western,Bath and North East Somerset
Olton,99904,133578,51596,0,OLT,North West and Central,Solihull
Ore,59298,67844,80896,0,ORE,Southern,East Sussex
Ormskirk,335486,1041440,287444,17412,OMS,North West and Central,Lancashire
Orpington,1006914,1601554,580550,548635,ORP,Southern,Bromley
Orrell,31246,24234,17974,0,ORR,North West and Central,Wigan
Orrell Park,270582,340944,201736,0,OPK,North West and Central,Liverpool
Otford,88260,118260,60462,18998,OTF,Southern,Kent
Oulton Broad North,26212,64866,7266,0,OUN,Eastern,Suffolk
Oulton Broad South,15260,29234,936,0,OUS,Eastern,Suffolk
Outwood,105636,56822,30372,0,OUT,Eastern,Wakefield
Overpool,63514,74220,11632,0,OVE,North West and Central,Cheshire West and Chester
Overton,22460,46446,21902,0,OVR,Southern,Hampshire
Oxenholme Lake District,0,689346,11048,176713,OXN,North West and Central,Cumbria
Oxford,566016,3970002,477060,389346,OXF,Wales and Western,Oxfordshire
Oxford Parkway,75440,340578,41008,0,OXP,North West and Central,Oxfordshire
Oxshott,105676,104400,63684,0,OXS,Southern,Surrey
Oxted,221318,350660,401456,0,OXT,Southern,Surrey
Paddock Wood,191502,292454,258070,67632,PDW,Southern,Kent
Padgate,41522,41320,9592,0,PDG,North West and Central,Warrington
Paignton,58306,444328,75362,4,PGN,Wales and Western,Torbay
Paisley Canal,51822,84144,55578,0,PCN,Scotland,Renfrewshire
Paisley Gilmour Street,595050,1043778,485420,67215,PYG,Scotland,Renfrewshire
Paisley St James,17194,27382,8042,0,PYJ,Scotland,Renfrewshire
Palmers Green,343928,450520,123716,0,PAL,Eastern,Enfield
Pangbourne,59202,133142,59240,0,PAN,Wales and Western,West Berkshire
Pannal,34546,43144,17110,0,PNL,Eastern,North Yorkshire
Pantyffynnon,878,550,0,0,PTF,Wales and Western,Carmarthenshire
Par,23930,126742,32004,85334,PAR,Wales and Western,Cornwall
Parbold,24598,42218,16194,0,PBL,North West and Central,Lancashire
Park Street,2622,3386,3386,0,PKT,North West and Central,Hertfordshire
Parkstone (Dorset),32330,87522,6566,0,PKS,Southern,"Bournemouth, Christchurch and Poole"
Parson Street,35234,57666,8582,0,PSN,Wales and Western,Bristol
Partick,406854,1014670,243036,175142,PTK,Scotland,Glasgow City
Parton,2100,4122,508,0,PRN,North West and Central,Cumbria
Patchway,22336,24944,3476,0,PWY,Wales and Western,South Gloucestershire
Patricroft,42266,33254,10246,0,PAT,North West and Central,Salford
Patterton,53400,108144,145230,0,PTT,Scotland,East Renfrewshire
Peartree,2930,184,938,0,PEA,Eastern,Derby
Peckham Rye,1279040,2406874,754520,1491387,PMR,Southern,Southwark
Pegswood,1046,80,434,0,PEG,Eastern,Northumberland
Pemberton,17050,16902,6838,0,PEM,North West and Central,Wigan
Pembrey and Burry Port,45600,16060,14744,0,PBY,Wales and Western,Carmarthenshire
Pembroke,10724,4600,340,0,PMB,Wales and Western,Pembrokeshire
Pembroke Dock,17090,5276,258,0,PMD,Wales and Western,Pembrokeshire
Penally,3060,964,0,0,PNA,Wales and Western,Pembrokeshire
Penarth,197020,17216,48148,0,PEN,Wales and Western,Vale of Glamorgan
Pencoed,82510,24132,19146,0,PCD,Wales and Western,Bridgend
Pengam,93052,4792,27344,0,PGM,Wales and Western,Caerphilly
Penge East,301454,491836,154364,3647,PNE,Southern,Bromley
Penge West,148910,274662,59088,0,PNW,Southern,Bromley
Penhelig,2736,774,0,0,PHG,Wales and Western,Gwynedd
Penistone,58436,47244,21332,0,PNS,Eastern,Barnsley
Penkridge,133648,81996,17744,0,PKG,North West and Central,Staffordshire
Penmaenmawr,5684,4566,946,0,PMW,Wales and Western,Conwy
Penmere,21492,115252,48722,0,PNM,Wales and Western,Cornwall
Penrhiwceiber,19702,706,5732,0,PER,Wales and Western,Rhondda Cynon Taf
Penrhyndeudraeth,6122,1530,38638,0,PRH,Wales and Western,Gwynedd
Penrith (North Lakes),21592,411968,72228,114131,PNR,North West and Central,Cumbria
Penryn (Cornwall),29836,201400,38016,0,PYN,Wales and Western,Cornwall
Pensarn (Gwynedd),2508,444,296,0,PES,Wales and Western,Gwynedd
Penshurst,8910,13716,16630,0,PHR,Southern,Kent
Pentre-Bach,15316,458,2598,0,PTB,Wales and Western,Merthyr Tydfil
Pen-Y-Bont (Mid Wales),286,238,0,0,PNY,Wales and Western,Powys
Penychain,1998,896,0,0,PNC,Wales and Western,Gwynedd
